_id,Year,BranchCode,CardholderType,Circulation
1,2022,AB,Child,43244
2,2022,ACD,Child,18594
3,2022,AD,Child,27838
4,2022,AG,Child,97711
5,2022,AH,Child,11105
6,2022,AL,Child,2403
7,2022,AN,Child,17327
8,2022,AP,Child,9455
9,2022,BB,Child,33231
10,2022,BC,Child,6014
11,2022,BD,Child,14224
12,2022,BE,Child,21107
13,2022,BF,Child,59528
14,2022,BKONE,Child,5946
15,2022,BKTWO,Child,2899
16,2022,BL,Child,39046
17,2022,BR,Child,47386
18,2022,BRW,Child,42942
19,2022,BUR,Child,11842
20,2022,BY,Child,62153
21,2022,CC,Child,16440
22,2022,CE,Child,33877
23,2022,CED,Child,46896
24,2022,CH,Child,5213
25,2022,CL,Child,115607
26,2022,CS,Child,14895
27,2022,DA,Child,34176
28,2022,DM,Child,74952
29,2022,DO,Child,19714
30,2022,DP,Child,23340
31,2022,DR,Child,20497
32,2022,DS,Child,193
33,2022,DT,Child,9130
34,2022,DU,Child,23676
35,2022,EA,Child,58597
36,2022,EB,Child,12431
37,2022,EG,Child,4386
38,2022,ES,Child,23010
39,2022,FH,Child,21799
40,2022,FO,Child,27892
41,2022,FP,Child,17132
42,2022,FV,Child,109695
43,2022,GE,Child,19304
44,2022,GHP,Child,28663
45,2022,GW,Child,9036
46,2022,HB,Child,9286
47,2022,HC,Child,17442
48,2022,HIL,Child,37484
49,2022,HLS,Child,42
50,2022,HP,Child,27047
51,2022,HS,Child,4915
52,2022,HW,Child,8487
53,2022,IL,Child,0
54,2022,JD,Child,25985
55,2022,JO,Child,15523
56,2022,JS,Child,12342
57,2022,KE,Child,26549
58,2022,LB,Child,11329
59,2022,LD,Child,0
60,2022,LE,Child,46359
61,2022,LO,Child,29697
62,2022,LS,Child,22585
63,2022,MA,Child,27156
64,2022,MAL,Child,59127
65,2022,MAS,Child,23908
66,2022,MCG,Child,26885
67,2022,MD,Child,11562
68,2022,ME,Child,0
69,2022,MI,Child,24670
70,2022,MP,Child,909
71,2022,MRV,Child,9013
72,2022,MS,Child,23646
73,2022,ND,Child,44633
74,2022,NE,Child,5053
75,2022,NT,Child,15877
76,2022,OS,Child,0
77,2022,OV,Child,20995
